0	The Hunger Games, The Hunger Games	Suzanne Collins	https://www.oasisacademysouthbank.org/uploaded/South_Bank/Curriculum/Student_Learning/Online_Library/KS3/hunger_games/01_The_Hunger_Games_by_Suzanne_Collins.pdf https://core.ac.uk/download/pdf/30892825.pdf http://heb-nic.in/cass/admin/freePDF/i7ol16pw4jig3e2lbmmc.pdf
1	The Hunger Games, Catching Fire	Suzanne Collins	https://spensabayalibrary.files.wordpress.com/2016/04/suzanne-collins-catching-fire.pdf http://ads.baa.uk.com/ads_1407132091_catching_fire_the_hunger_games.pdf http://ads.baa.uk.com/ads_B003O86FMW_catching_fire_hunger_games_trilogy_book_2.pdf
2	Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	http://ads.baa.uk.com/ads_1408856786_harry_potter_box_set_the_complete_collection_chil.pdf http://d1.psn.cards/dcr-545162076-harry-potter-paperback-boxed-set-books-1-7.pdf http://www.anaprestes.com.br/Harry_Potter_Boxset_1_7_Jk_Rowling.pdf
3	The Hunger Games, Mockingjay	Suzanne Collins	http://www.kkoworld.com/kitablar/suzanna-kollinz-acliq-oyunlari-3-hisse-eng.pdf http://ads.baa.uk.com/ads_B003XF1XOQ_mockingjay_hunger_games_trilogy_book_3.pdf https://core.ac.uk/download/pdf/30892825.pdf
4	Harry Potter, Harry Potter and the Sorcerer's Stone	J.K. Rowling	http://www.getfreestories.weebly.com/uploads/7/9/0/2/79020522/harry_potter_and_the_sorcerers_-_j.k._rowling.pdf http://hpread.scholastic.com/HP_Book1_Chapter_Excerpt.pdf http://www.epitomejournals.com/VolumeArticles/FullTextPDF/79_Research_Paper.pdf
5	Twilight, Twilight	Stephenie Meyer	http://ads.baa.uk.com/ads_889325395X_twilight.pdf http://www.ftik.usm.ac.id/A699092/amz-1904233651-twilight-twilight-book-1-1-4.pdf https://cdn.shopify.com/s/files/1/0454/6805/7749/files/stephenie_meyer_twilight_free_pdf_download.pdf
6	Pride and Prejudice	Jane Austen	https://www.planetebook.com/free-ebooks/pride-and-prejudice.pdf https://www.ucm.es/data/cont/docs/119-2014-04-09-Guide%20To%20Pride%20and%20Prejudice.pdf https://www.bju.edu/events/fine-arts/concert-opera-drama/archive/pride-and-prejudice/pride-smart.pdf
7	To Kill a Mockingbird	Harper Lee	http://giove.isti.cnr.it/demo/eread/Libri/angry/Mockingbird.pdf http://www.gmsdk12.org/Downloads/Abridged%20TKAM.pdf https://www.bighorn1.com/view/3907.pdf
8	The Hobbit, or There and Back Again	J.R.R. Tolkien	http://www1.reserveatlakekeowee.com/054792822x-hobbit-j-r-tolkien.pdf http://www.ftik.usm.ac.id/A699092/amz-345296044-the-hobbit-or-there-and-back-again.pdf http://www.ftik.usm.ac.id/A699092/amz-261102214-the-hobbit-or-there-and-back-again-the-tolkien-col.pdf
9	Twilight, Breaking Dawn	Stephenie Meyer	http://www.kkoworld.com/kitablar/Stefani_Mayer_Subh-eng.pdf http://ads.baa.uk.com/ads_190741035X_breaking_dawn_twilight_book_4_4_4_twilight_saga.pdf http://ads.baa.uk.com/ads_B002RI9SC4_breaking_dawn_twilight_book_4_twilight_saga_engli.pdf
